,Man City,Liverpool,Chelsea,Tottenham,Arsenal,Man United,Wolves,Everton,Leicester City,West Ham,Watford,Crystal Palace,Newcastle,Bournesmouth,Burnley,Southampton,Brighton,Cardiff,Fulham,Huddersfield
,W,W,W,W,L,W,D,D,L,L,W,W,L,W,D,D,L,L,L,L
,W,W,W,W,L,L,L,W,W,L,W,L,D,W,L,L,W,D,L,L
,D,W,W,W,W,L,D,D,W,L,W,L,L,D,L,L,L,D,W,D
,W,W,W,L,W,W,W,D,L,L,W,L,L,L,L,W,D,L,D,D
,W,W,W,L,W,W,W,L,L,W,L,W,L,W,L,D,D,L,L,L
,W,W,D,W,W,D,D,L,W,D,D,D,D,L,W,L,L,L,D,L
,W,D,D,W,W,L,W,W,W,W,L,L,L,W,W,L,L,L,L,L
,D,D,W,W,W,W,W,W,L,L,L,L,L,W,D,L,W,L,L,D
,W,W,D,W,W,D,L,W,L,L,W,L,L,D,L,D,W,W,L,L
,W,W,W,L,D,W,L,L,D,D,W,D,D,W,L,D,W,L,L,L
,W,D,W,W,D,W,L,W,W,W,L,L,W,L,L,L,L,L,L,W
,W,W,D,W,D,L,D,D,D,D,D,L,W,L,D,D,L,W,L,D
,W,W,L,W,W,D,L,W,D,L,L,D,W,L,L,L,D,L,W,W
,W,W,W,L,W,D,L,L,W,W,L,W,L,L,L,D,W,W,L,L
,W,W,L,W,D,D,W,D,D,W,L,L,D,W,L,L,W,L,D,L
,L,W,W,W,W,W,W,D,L,W,D,L,L,L,W,L,L,W,L,L
,W,W,W,W,L,L,W,L,L,W,W,W,W,L,L,W,L,L,L,L
,L,W,L,W,W,W,L,L,W,L,W,W,D,W,L,W,L,L,D,L
,L,W,W,W,D,W,D,W,W,W,L,D,L,L,L,L,D,D,D,L
,W,W,W,L,L,W,W,L,L,L,D,L,D,L,W,L,W,W,W,L
,W,L,D,W,W,W,L,L,W,D,D,W,L,D,W,D,D,L,L,L
,W,W,W,L,L,W,L,W,L,W,W,L,L,L,W,W,L,D,L,D
,W,W,L,W,W,W,W,L,L,L,D,L,W,W,D,W,L,L,L,L
,L,D,L,W,W,D,W,W,D,L,L,D,W,W,D,D,L,L,W,L
,W,D,W,W,L,W,W,L,L,D,D,W,L,L,D,D,D,W,L,L
,W,W,L,W,W,W,D,L,L,D,W,D,D,L,W,L,L,W,L,L
,W,D,W,L,W,D,D,L,L,W,W,W,W,D,W,L,L,L,L,L
,W,W,W,L,W,W,L,W,W,L,L,L,W,L,L,W,W,L,L,W
,W,D,D,D,D,W,W,D,L,W,W,W,L,L,L,L,W,L,L,L
,W,W,L,L,W,L,D,L,W,L,L,L,W,W,L,W,L,W,L,L
,W,W,W,L,W,W,L,W,W,W,L,W,D,D,L,W,L,L,L,L
,W,W,W,W,L,L,W,W,W,L,W,L,L,L,W,L,L,L,L,L
,W,W,W,W,W,W,L,W,W,L,L,W,L,L,W,W,L,L,L,L
,W,W,L,L,L,L,D,L,L,L,W,L,W,W,W,L,D,W,W,L
,W,W,D,W,L,L,W,W,D,D,D,W,W,L,D,D,L,L,W,L
,W,W,D,L,L,D,W,D,W,W,L,D,D,D,L,D,D,L,W,L
,W,W,W,L,D,D,W,W,L,W,L,W,L,W,L,L,D,L,L,D
,W,W,D,D,W,L,L,D,D,W,L,W,W,L,L,D,L,W,L,D
